Workflow Count: 30 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	workflowNum	Name	totalCost	               totalRU	totalSR	   DD	  ST
8	200.0	NOSF	45660.52140	0.84696	0.57500	-0.01008	0.45115
8	200.0	RMWS	48352.90900	0.85034	0.77000	-0.16439	0.97627
9	200.0	ROSA	84382.80000	0.62340	0.74500	-0.02636	1.06117
9	200.0	NOSF	28506.59200	0.81432	0.60000	-0.00502	0.50914
9	200.0	RMWS	32710.28400	0.80661	0.86500	-0.19240	0.89747
Average:	200.0	ROSA	95118.28000	0.72610	0.73350	-0.01453	0.98426
Average:	200.0	NOSF	51018.04426	0.81529	0.60450	-0.01152	0.54757
Average:	200.0	RMWS	45293.20260	0.84714	0.79300	-0.17873	1.04523
0	500.0	ROSA	229288.00000	0.77352	0.69800	-0.00969	2.29645
0	500.0	NOSF	121758.84440	0.85088	0.56200	0.00494	1.11603
0	500.0	RMWS	159795.59920	0.86067	0.91600	-0.29720	1.72391
1	500.0	ROSA	223213.60000	0.70759	0.65800	-0.00432	2.60357
1	500.0	NOSF	107174.21560	0.83896	0.56800	0.01178	1.21817
1	500.0	RMWS	147385.73880	0.84454	0.85400	-0.27594	1.88976
2	500.0	ROSA	245655.60000	0.75287	0.71200	0.00377	2.47662
2	500.0	NOSF	161277.04500	0.85545	0.57600	0.00247	1.16995
2	500.0	RMWS	164012.56540	0.86987	0.85800	-0.27396	2.18578
3	500.0	ROSA	225056.40000	0.76964	0.73000	-0.01006	2.55689
3	500.0	NOSF	112091.52420	0.85995	0.58200	0.00483	1.14747
3	500.0	RMWS	152838.61740	0.86684	0.86000	-0.28326	1.73881
4	500.0	ROSA	262542.40000	0.75036	0.71600	0.00964	2.69752
4	500.0	NOSF	159301.45660	0.84970	0.57000	-0.00179	1.21914
4	500.0	RMWS	178368.87040	0.86022	0.85600	-0.28650	2.14189
5	500.0	ROSA	238621.60000	0.69358	0.72800	0.00668	2.65683
5	500.0	NOSF	105515.33060	0.86280	0.58000	-0.00408	1.07985
5	500.0	RMWS	143833.96340	0.86280	0.87800	-0.28056	1.87576
6	500.0	ROSA	217620.00000	0.79340	0.71600	-0.00211	2.23094
6	500.0	NOSF	134646.61380	0.86033	0.58600	-0.00759	1.03875
6	500.0	RMWS	151290.43540	0.85720	0.85000	-0.25051	1.82481
7	500.0	ROSA	263723.60000	0.72507	0.70000	0.00176	2.63198
7	500.0	NOSF	134405.24780	0.87017	0.55800	0.00615	1.18018
7	500.0	RMWS	165471.75680	0.87563	0.85400	-0.26444	1.89547
8	500.0	ROSA	239328.00000	0.74768	0.73000	-0.00013	2.19331
