Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.1 gama_Deadline Factor: 4.0
Repeat	vita	Name	totalCost	               totalRU	totalSR	   DD	  ST
0	0.35	RMWS	25325.34620	0.80427	0.69000	-0.11518	0.61543
1	0.35	ROSA	54375.60000	0.52945	0.76000	-0.01635	0.42910
1	0.35	NOSF	22931.98560	0.76387	0.60000	-0.01690	0.22806
1	0.35	RMWS	18382.87940	0.76276	0.74000	-0.16410	0.55323
2	0.35	ROSA	48995.20000	0.49908	0.67000	-0.01823	0.49586
2	0.35	NOSF	20089.60160	0.70086	0.56000	-0.01829	0.31733
2	0.35	RMWS	15853.73720	0.68817	0.70000	-0.14054	0.64097
3	0.35	ROSA	50944.00000	0.76867	0.81000	-0.02332	0.39741
3	0.35	NOSF	35386.71360	0.78410	0.52000	-0.01120	0.29526
3	0.35	RMWS	21933.59880	0.85404	0.68000	-0.12040	0.58102
4	0.35	ROSA	39957.20000	0.45232	0.73000	-0.01823	0.33702
4	0.35	NOSF	13454.93420	0.74700	0.61000	-0.00385	0.13815
4	0.35	RMWS	11268.13500	0.75664	0.80000	-0.17829	0.33728
5	0.35	ROSA	58098.40000	0.73234	0.78000	-0.04356	0.40028
5	0.35	NOSF	41148.10320	0.79326	0.68000	-0.03526	0.25331
5	0.35	RMWS	26411.64200	0.85305	0.79000	-0.12820	0.55300
6	0.35	ROSA	56644.40000	0.74659	0.80000	-0.03198	0.40316
6	0.35	NOSF	40075.42800	0.80532	0.64000	-0.06231	0.26010
6	0.35	RMWS	24427.83660	0.86719	0.70000	-0.08552	0.56164
7	0.35	ROSA	48082.80000	0.77308	0.78000	-0.04630	0.33905
7	0.35	NOSF	22119.31260	0.84522	0.57000	-0.01063	0.22528
7	0.35	RMWS	21321.25500	0.85230	0.75000	-0.09171	0.55001
8	0.35	ROSA	54694.40000	0.73788	0.72000	-0.04341	0.45326
8	0.35	NOSF	37397.97760	0.79465	0.63000	-0.04344	0.27791
8	0.35	RMWS	23404.70400	0.83681	0.73000	-0.11096	0.59222
9	0.35	ROSA	57406.40000	0.51667	0.75000	-0.02284	0.53616
9	0.35	NOSF	25728.26340	0.75442	0.61000	-0.00237	0.22592
9	0.35	RMWS	19259.73060	0.77639	0.71000	-0.14714	0.54202
Average:	0.35	ROSA	52536.44000	0.63767	0.75100	-0.02796	0.42673
Average:	0.35	NOSF	29578.10312	0.77137	0.59300	-0.01788	0.24772
Average:	0.35	RMWS	20758.88648	0.80516	0.72900	-0.12820	0.55268
0	0.39999999999999997	ROSA	48318.40000	0.65948	0.77000	-0.02243	0.31113
0	0.39999999999999997	NOSF	21612.56160	0.82260	0.58000	-0.03801	0.18520
0	0.39999999999999997	RMWS	15864.25500	0.84205	0.74000	-0.14264	0.52126
1	0.39999999999999997	ROSA	54032.80000	0.76568	0.72000	-0.01276	0.38878
1	0.39999999999999997	NOSF	41040.98160	0.80611	0.68000	-0.04586	0.24938
1	0.39999999999999997	RMWS	23662.08280	0.85023	0.75000	-0.09867	0.59484
2	0.39999999999999997	ROSA	44006.40000	0.55424	0.79000	-0.04649	0.34362
2	0.39999999999999997	NOSF	24970.24400	0.70176	0.59000	0.01249	0.19854
2	0.39999999999999997	RMWS	15110.91800	0.77166	0.76000	-0.17891	0.45025
3	0.39999999999999997	ROSA	47294.40000	0.66191	0.80000	-0.01607	0.43897
3	0.39999999999999997	NOSF	25938.37200	0.76165	0.57000	-0.03840	0.27336
3	0.39999999999999997	RMWS	16260.03300	0.81167	0.74000	-0.13959	0.53090
4	0.39999999999999997	ROSA	44862.80000	0.68156	0.77000	-0.02212	0.41091
4	0.39999999999999997	NOSF	26670.09420	0.74399	0.57000	0.00389	0.28803
4	0.39999999999999997	RMWS	19855.30820	0.78918	0.72000	-0.12994	0.55295
5	0.39999999999999997	ROSA	49727.60000	0.71563	0.72000	-0.00884	0.40568
5	0.39999999999999997	NOSF	32408.65860	0.77548	0.50000	0.02210	0.27369
5	0.39999999999999997	RMWS	20895.72040	0.81242	0.71000	-0.09933	0.52915
6	0.39999999999999997	ROSA	65511.60000	0.64123	0.75000	-0.03820	0.74610
6	0.39999999999999997	NOSF	35465.25380	0.79213	0.67000	-0.01479	0.33998
6	0.39999999999999997	RMWS	24259.07700	0.81047	0.69000	-0.09376	0.68026
7	0.39999999999999997	ROSA	42573.60000	0.71111	0.79000	-0.03228	0.32527
7	0.39999999999999997	NOSF	22603.29020	0.77993	0.62000	-0.03194	0.24559
7	0.39999999999999997	RMWS	16152.80780	0.79929	0.77000	-0.14122	0.59135
8	0.39999999999999997	ROSA	39926.40000	0.65234	0.67000	-0.02725	0.41382
8	0.39999999999999997	NOSF	27474.56800	0.70057	0.58000	0.00595	0.25634
8	0.39999999999999997	RMWS	18004.96620	0.74072	0.68000	-0.12307	0.51112
9	0.39999999999999997	ROSA	36334.40000	0.71933	0.73000	-0.01823	0.29134
9	0.39999999999999997	NOSF	24599.34180	0.74210	0.60000	-0.01070	0.19878
9	0.39999999999999997	RMWS	15132.32260	0.80082	0.69000	-0.13042	0.34250
Average:	0.39999999999999997	ROSA	47258.84000	0.67625	0.75100	-0.02447	0.40756
Average:	0.39999999999999997	NOSF	28278.33658	0.76263	0.59600	-0.01353	0.25089
Average:	0.39999999999999997	RMWS	18519.74910	0.80285	0.72500	-0.12775	0.53046
0	0.44999999999999996	ROSA	40599.20000	0.71715	0.76000	-0.03591	0.24211
0	0.44999999999999996	NOSF	28574.70540	0.76464	0.61000	-0.01530	0.16674
0	0.44999999999999996	RMWS	22995.05260	0.80910	0.75000	-0.13032	0.41526
1	0.44999999999999996	ROSA	63873.60000	0.74272	0.72000	-0.01296	0.54590
1	0.44999999999999996	NOSF	33542.66760	0.83836	0.53000	0.02148	0.31406
1	0.44999999999999996	RMWS	26516.17260	0.83901	0.62000	-0.03872	0.66094
2	0.44999999999999996	ROSA	36183.20000	0.54385	0.65000	0.00815	0.39160
2	0.44999999999999996	NOSF	22117.16040	0.65056	0.53000	0.01321	0.23460
2	0.44999999999999996	RMWS	16650.81560	0.66316	0.71000	-0.17530	0.53970
3	0.44999999999999996	ROSA	42379.60000	0.72236	0.69000	0.02977	0.32600
3	0.44999999999999996	NOSF	27701.37700	0.74852	0.45000	0.03205	0.25843
3	0.44999999999999996	RMWS	18004.61040	0.78891	0.74000	-0.13171	0.45219
4	0.44999999999999996	ROSA	50918.80000	0.64110	0.77000	-0.00985	0.47125
4	0.44999999999999996	NOSF	32004.09120	0.72967	0.53000	0.02404	0.30170
4	0.44999999999999996	RMWS	18416.92360	0.80753	0.73000	-0.15775	0.62404
5	0.44999999999999996	ROSA	42796.80000	0.55463	0.78000	-0.03129	0.43473
5	0.44999999999999996	NOSF	26460.05120	0.68129	0.60000	0.02223	0.20492
5	0.44999999999999996	RMWS	16731.67240	0.74581	0.74000	-0.14850	0.46969
6	0.44999999999999996	ROSA	60326.40000	0.51426	0.72000	0.00230	0.53032
6	0.44999999999999996	NOSF	17434.57860	0.79922	0.54000	0.00988	0.24015
6	0.44999999999999996	RMWS	19250.07960	0.79652	0.73000	-0.09432	0.51851
7	0.44999999999999996	ROSA	48517.60000	0.61591	0.75000	-0.00701	0.31775
7	0.44999999999999996	NOSF	23968.60240	0.76567	0.62000	-0.02067	0.18206
7	0.44999999999999996	RMWS	15593.97680	0.83498	0.77000	-0.14809	0.46090
8	0.44999999999999996	ROSA	50855.20000	0.58591	0.64000	-0.00396	0.54715
8	0.44999999999999996	NOSF	22991.14500	0.74845	0.48000	0.03282	0.30472
8	0.44999999999999996	RMWS	19994.10680	0.74731	0.69000	-0.10511	0.64898
9	0.44999999999999996	ROSA	54712.80000	0.73466	0.74000	-0.00469	0.44918
9	0.44999999999999996	NOSF	25517.54420	0.82768	0.53000	0.01329	0.31119
9	0.44999999999999996	RMWS	21971.69720	0.83074	0.68000	-0.09864	0.66152
Average:	0.44999999999999996	ROSA	49116.32000	0.63726	0.72200	-0.00655	0.42560
Average:	0.44999999999999996	NOSF	26031.19230	0.75541	0.54200	0.01330	0.25186
Average:	0.44999999999999996	RMWS	19612.51076	0.78631	0.71600	-0.12285	0.54517
0	0.49999999999999994	ROSA	45046.00000	0.76119	0.74000	-0.01769	0.29043
0	0.49999999999999994	NOSF	26641.80180	0.80578	0.48000	0.03683	0.19570
0	0.49999999999999994	RMWS	23547.64000	0.82198	0.74000	-0.15320	0.51148
1	0.49999999999999994	ROSA	55670.00000	0.62653	0.76000	-0.03928	0.57048
1	0.49999999999999994	NOSF	24677.72220	0.78355	0.62000	-0.00321	0.27510
1	0.49999999999999994	RMWS	18480.70620	0.81369	0.77000	-0.14091	0.53588
2	0.49999999999999994	ROSA	62480.00000	0.64760	0.74000	-0.00162	0.39880
2	0.49999999999999994	NOSF	31867.53720	0.80712	0.55000	0.01808	0.23847
2	0.49999999999999994	RMWS	26359.18020	0.82564	0.72000	-0.09860	0.50976
3	0.49999999999999994	ROSA	40276.80000	0.59708	0.70000	-0.00693	0.31810
3	0.49999999999999994	NOSF	15008.11480	0.76822	0.55000	0.02413	0.18935
3	0.49999999999999994	RMWS	12749.03040	0.79272	0.78000	-0.15498	0.31970
4	0.49999999999999994	ROSA	43138.00000	0.78999	0.74000	-0.02224	0.28511
4	0.49999999999999994	NOSF	27603.22720	0.79984	0.56000	-0.00183	0.23990
4	0.49999999999999994	RMWS	25316.99920	0.80973	0.66000	-0.09518	0.57870
5	0.49999999999999994	ROSA	57461.20000	0.49187	0.75000	-0.00673	0.56791
5	0.49999999999999994	NOSF	28106.71420	0.72079	0.58000	0.00383	0.25573
5	0.49999999999999994	RMWS	18307.51480	0.75941	0.69000	-0.12086	0.60600
6	0.49999999999999994	ROSA	62389.60000	0.60943	0.77000	-0.01562	0.44855
6	0.49999999999999994	NOSF	21331.46220	0.84286	0.42000	0.02952	0.19364
6	0.49999999999999994	RMWS	24006.02860	0.84750	0.77000	-0.14377	0.49626
7	0.49999999999999994	ROSA	44261.20000	0.49786	0.75000	-0.01086	0.35314
7	0.49999999999999994	NOSF	19308.06360	0.74254	0.50000	0.01646	0.17035
7	0.49999999999999994	RMWS	15590.59760	0.77171	0.76000	-0.17714	0.41858
8	0.49999999999999994	ROSA	50645.60000	0.74666	0.77000	-0.00456	0.35270
8	0.49999999999999994	NOSF	35797.01540	0.79240	0.52000	0.00902	0.22134
8	0.49999999999999994	RMWS	29399.90860	0.83637	0.68000	-0.10884	0.49852
9	0.49999999999999994	ROSA	54394.00000	0.56805	0.73000	-0.00258	0.48665
9	0.49999999999999994	NOSF	34168.16460	0.73648	0.49000	0.01886	0.20196
9	0.49999999999999994	RMWS	21121.00420	0.78610	0.72000	-0.12824	0.50537
Average:	0.49999999999999994	ROSA	51576.24000	0.63363	0.74500	-0.01281	0.40719
Average:	0.49999999999999994	NOSF	26450.98232	0.77996	0.52700	0.01517	0.21816
Average:	0.49999999999999994	RMWS	21487.86098	0.80648	0.72900	-0.13217	0.49802
