Workflow Count: 100 alft_Task execution time : 0.2 vita_Data transfer time: 0.2 gama_Deadline Factor: 1.0
Repeat	gama	Name	totalCost	               totalRU	totalSR	   DD	  ST
6	4.0	RMWS	16367.39740	0.80595	0.79000	-0.14834	0.56524
7	4.0	ROSA	47455.20000	0.81809	0.84000	-0.04085	0.27135
7	4.0	NOSF	25267.46500	0.84350	0.69000	-0.07783	0.21617
7	4.0	RMWS	15060.83500	0.87261	0.85000	-0.16837	0.51157
8	4.0	ROSA	52636.80000	0.72964	0.75000	-0.02734	0.43899
8	4.0	NOSF	31449.27880	0.80128	0.56000	-0.03218	0.27812
8	4.0	RMWS	17942.97100	0.84679	0.77000	-0.10470	0.52163
9	4.0	ROSA	45370.80000	0.72500	0.70000	-0.00537	0.27549
9	4.0	NOSF	19097.33720	0.79563	0.70000	-0.03762	0.22341
9	4.0	RMWS	15386.93120	0.80365	0.80000	-0.15128	0.54532
Average:	4.0	ROSA	52346.44000	0.70569	0.73100	-0.02251	0.40671
Average:	4.0	NOSF	26027.95870	0.80595	0.61300	-0.02980	0.23842
Average:	4.0	RMWS	19042.98032	0.83087	0.77300	-0.12656	0.52448
0	5.0	ROSA	56701.60000	0.80348	0.82000	-0.06876	0.35388
0	5.0	NOSF	29794.31820	0.85560	0.72000	-0.05351	0.28270
0	5.0	RMWS	14912.10940	0.87607	0.95000	-0.17409	0.60270
1	5.0	ROSA	37294.40000	0.49846	0.88000	-0.06316	0.33532
1	5.0	NOSF	8518.15480	0.76382	0.70000	-0.04540	0.18233
1	5.0	RMWS	10097.97820	0.70453	0.92000	-0.23512	0.46868
2	5.0	ROSA	52804.40000	0.62148	0.75000	-0.05751	0.38816
2	5.0	NOSF	22645.33880	0.79474	0.73000	-0.05071	0.23665
2	5.0	RMWS	16937.27080	0.81073	0.93000	-0.20994	0.55116
3	5.0	ROSA	49915.60000	0.58462	0.80000	-0.05007	0.46206
3	5.0	NOSF	18604.13620	0.78215	0.65000	-0.03105	0.26002
3	5.0	RMWS	17018.51400	0.76905	0.90000	-0.20719	0.64719
4	5.0	ROSA	56396.40000	0.73738	0.89000	-0.06248	0.37611
4	5.0	NOSF	28792.35820	0.82074	0.60000	-0.02134	0.24044
4	5.0	RMWS	25454.16200	0.82193	0.91000	-0.18352	0.59109
5	5.0	ROSA	49679.20000	0.59100	0.77000	-0.05085	0.42688
5	5.0	NOSF	21176.51760	0.78847	0.65000	-0.03780	0.21263
5	5.0	RMWS	16075.33760	0.79284	0.84000	-0.17763	0.53075
6	5.0	ROSA	56244.40000	0.77047	0.72000	-0.06189	0.42397
6	5.0	NOSF	27522.16440	0.85345	0.71000	-0.05357	0.27378
6	5.0	RMWS	13690.34240	0.86125	0.92000	-0.19023	0.61943
7	5.0	ROSA	50434.00000	0.64874	0.87000	-0.06390	0.40643
7	5.0	NOSF	20861.85460	0.81372	0.68000	-0.03261	0.25587
7	5.0	RMWS	19873.69140	0.78324	0.93000	-0.17752	0.56312
8	5.0	ROSA	44812.40000	0.80437	0.84000	-0.07380	0.27544
8	5.0	NOSF	22920.15820	0.83567	0.73000	-0.06002	0.21193
8	5.0	RMWS	16054.04600	0.84631	0.93000	-0.20627	0.54854
9	5.0	ROSA	38784.40000	0.73597	0.79000	-0.02119	0.26223
9	5.0	NOSF	16077.96700	0.80438	0.64000	-0.02781	0.22179
9	5.0	RMWS	16651.55380	0.79268	0.89000	-0.18067	0.47118
Average:	5.0	ROSA	49306.68000	0.67960	0.81300	-0.05736	0.37105
Average:	5.0	NOSF	21691.29680	0.81127	0.68100	-0.04138	0.23781
Average:	5.0	RMWS	16676.50056	0.80586	0.91200	-0.19422	0.55938
0	6.0	ROSA	45994.40000	0.62441	0.82000	-0.09494	0.31971
0	6.0	NOSF	8736.79620	0.85637	0.80000	-0.09956	0.20084
0	6.0	RMWS	12679.30320	0.79632	0.98000	-0.25728	0.39612
1	6.0	ROSA	56777.20000	0.83797	0.92000	-0.07857	0.24966
1	6.0	NOSF	29993.67680	0.87147	0.84000	-0.08364	0.24022
1	6.0	RMWS	18999.01900	0.86789	1.00000	-0.25485	0.48538
2	6.0	ROSA	34681.60000	0.66941	0.91000	-0.11106	0.23262
2	6.0	NOSF	10683.91320	0.79561	0.81000	-0.10260	0.19857
2	6.0	RMWS	9740.04520	0.74915	1.00000	-0.29545	0.51890
3	6.0	ROSA	51761.20000	0.71243	0.91000	-0.08489	0.33126
3	6.0	NOSF	12992.71080	0.86930	0.85000	-0.08960	0.22746
3	6.0	RMWS	10445.76020	0.85549	0.99000	-0.26738	0.47033
4	6.0	ROSA	38394.40000	0.72389	0.93000	-0.10220	0.22005
4	6.0	NOSF	14550.09980	0.84439	0.67000	-0.07533	0.18237
4	6.0	RMWS	12730.05800	0.81105	0.98000	-0.28154	0.48161
5	6.0	ROSA	42704.40000	0.73672	0.84000	-0.07896	0.24593
5	6.0	NOSF	15480.27640	0.84131	0.79000	-0.09029	0.19391
5	6.0	RMWS	16718.42340	0.78564	1.00000	-0.23827	0.49859
6	6.0	ROSA	65533.60000	0.68675	0.94000	-0.08156	0.53238
6	6.0	NOSF	37295.73580	0.83573	0.73000	-0.06562	0.26952
6	6.0	RMWS	18178.06480	0.84450	0.98000	-0.24823	0.60693
7	6.0	ROSA	50992.00000	0.64099	0.91000	-0.08725	0.36151
7	6.0	NOSF	13690.03520	0.83042	0.78000	-0.08095	0.22744
7	6.0	RMWS	17031.60500	0.79893	0.98000	-0.28231	0.39962
8	6.0	ROSA	53396.00000	0.76419	0.96000	-0.09207	0.22419
8	6.0	NOSF	18952.16600	0.91742	0.78000	-0.07359	0.12807
8	6.0	RMWS	17341.88080	0.90477	0.99000	-0.29910	0.35312
9	6.0	ROSA	55337.60000	0.71975	0.89000	-0.09110	0.37716
9	6.0	NOSF	18235.98480	0.86020	0.76000	-0.05570	0.27402
9	6.0	RMWS	15106.55320	0.82390	0.95000	-0.25008	0.61547
Average:	6.0	ROSA	49557.24000	0.71165	0.90300	-0.09026	0.30945
Average:	6.0	NOSF	18061.13950	0.85222	0.78100	-0.08169	0.21424
Average:	6.0	RMWS	14897.07128	0.82376	0.98500	-0.26745	0.48261
0	7.0	ROSA	36300.80000	0.71875	0.98000	-0.11420	0.23262
0	7.0	NOSF	9468.55380	0.82466	0.83000	-0.11314	0.21592
0	7.0	RMWS	11700.08840	0.77344	0.95000	-0.32612	0.45112
1	7.0	ROSA	39256.00000	0.77772	0.97000	-0.11117	0.24913
1	7.0	NOSF	14574.51880	0.82900	0.84000	-0.08671	0.22723
1	7.0	RMWS	13233.61840	0.79785	0.98000	-0.31521	0.51931
2	7.0	ROSA	38643.60000	0.73215	0.96000	-0.11752	0.22135
2	7.0	NOSF	8404.63220	0.84647	0.84000	-0.11995	0.21016
2	7.0	RMWS	9688.28040	0.79545	0.98000	-0.31668	0.54491
3	7.0	ROSA	37012.00000	0.62496	0.98000	-0.08730	0.23239
3	7.0	NOSF	7069.79120	0.82485	0.78000	-0.08092	0.17779
3	7.0	RMWS	7769.79320	0.80876	0.97000	-0.38402	0.45428
4	7.0	ROSA	38889.60000	0.66767	0.95000	-0.08466	0.24724
4	7.0	NOSF	10859.21600	0.83582	0.78000	-0.09570	0.19195
4	7.0	RMWS	11818.02860	0.78792	0.99000	-0.32796	0.47603
5	7.0	ROSA	49724.80000	0.83366	0.97000	-0.11716	0.26729
5	7.0	NOSF	24216.72060	0.85579	0.74000	-0.07267	0.28141
5	7.0	RMWS	19303.64600	0.86388	0.98000	-0.33079	0.63803
6	7.0	ROSA	51369.20000	0.67956	0.97000	-0.11366	0.28569
6	7.0	NOSF	8953.88140	0.88128	0.86000	-0.11569	0.18023
6	7.0	RMWS	9609.13480	0.86522	1.00000	-0.37298	0.46813
7	7.0	ROSA	62893.60000	0.82059	0.98000	-0.12190	0.32342
7	7.0	NOSF	36982.87400	0.87542	0.74000	-0.08376	0.26699
7	7.0	RMWS	21321.44320	0.88114	0.98000	-0.32303	0.57220
8	7.0	ROSA	40230.40000	0.69960	1.00000	-0.11538	0.24196
8	7.0	NOSF	7262.40120	0.85088	0.87000	-0.10531	0.20798
8	7.0	RMWS	11966.22000	0.78108	0.99000	-0.34356	0.48225
9	7.0	ROSA	52412.00000	0.85096	0.97000	-0.10171	0.23867
