Workflow Count: 100 alft_Task execution time : 0.1 vita_Data transfer time: 0.2 gama_Deadline Factor: 4.0
Repeat	alft	Name	totalCost	               totalRU	totalSR	   DD	  ST
3	0.39999999999999997	NOSF	35294.80720	0.75139	0.44000	0.04315	0.30028
3	0.39999999999999997	RMWS	22008.58460	0.78645	0.60000	-0.07300	0.64551
4	0.39999999999999997	ROSA	63020.00000	0.65449	0.62000	0.02667	0.50822
4	0.39999999999999997	NOSF	31364.75140	0.78185	0.42000	0.04203	0.38370
4	0.39999999999999997	RMWS	25453.82940	0.76658	0.53000	-0.04393	0.63481
5	0.39999999999999997	ROSA	57330.00000	0.79818	0.68000	-0.01449	0.40197
5	0.39999999999999997	NOSF	38048.14880	0.82790	0.53000	-0.00355	0.26804
5	0.39999999999999997	RMWS	25687.42900	0.85231	0.59000	-0.07005	0.54794
6	0.39999999999999997	ROSA	57243.60000	0.71202	0.57000	0.03615	0.56803
6	0.39999999999999997	NOSF	35972.94320	0.75698	0.41000	0.06296	0.40490
6	0.39999999999999997	RMWS	21825.34980	0.78718	0.56000	-0.05900	0.79381
7	0.39999999999999997	ROSA	56341.60000	0.71569	0.67000	0.02086	0.38009
7	0.39999999999999997	NOSF	26121.77280	0.84307	0.47000	0.02677	0.18624
7	0.39999999999999997	RMWS	19046.08700	0.85538	0.64000	-0.07984	0.41535
8	0.39999999999999997	ROSA	48059.20000	0.49538	0.62000	-0.00289	0.49473
8	0.39999999999999997	NOSF	27963.36060	0.64186	0.53000	0.02513	0.29397
8	0.39999999999999997	RMWS	19096.08720	0.63152	0.65000	-0.14168	0.63583
9	0.39999999999999997	ROSA	48788.00000	0.68510	0.68000	-0.00159	0.39253
9	0.39999999999999997	NOSF	19744.99640	0.81560	0.47000	0.02060	0.22901
9	0.39999999999999997	RMWS	14138.17780	0.84865	0.72000	-0.11845	0.40804
Average:	0.39999999999999997	ROSA	55246.08000	0.70344	0.66300	-0.00252	0.43279
Average:	0.39999999999999997	NOSF	31645.82502	0.78477	0.46500	0.03604	0.27468
